,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
46,AFG,,,,,,,Final HRP caseload,ALL,total,46024352.0,22887726.0,16790412.0,,,,All Sectors
513,AFG,AF01,Kabul,,,,,Final HRP caseload,ALL,total,5917242.0,2580711.0,1718492.0,,,,All Sectors
960,AFG,,,AF0101,Kabul,,,Final HRP caseload,ALL,total,4363855.0,2007373.0,1235318.0,,,,All Sectors
1387,AFG,,,AF0102,Paghman,,,Final HRP caseload,ALL,total,203343.0,75383.0,70818.0,,,,All Sectors
1632,AFG,,,AF0103,Chahar Asyab,,,Final HRP caseload,ALL,total,81687.0,24641.0,20530.0,,,,All Sectors
1882,AFG,,,AF0104,Bagrami,,,Final HRP caseload,ALL,total,453317.0,164633.0,150551.0,,,,All Sectors
2152,AFG,,,AF0105,Deh Sabz,,,Final HRP caseload,ALL,total,185737.0,56635.0,47347.0,,,,All Sectors
2422,AFG,,,AF0106,Shakar Dara,,,Final HRP caseload,ALL,total,106355.0,35727.0,28104.0,,,,All Sectors
2687,AFG,,,AF0107,Musahi,,,Final HRP caseload,ALL,total,51084.0,16696.0,14673.0,,,,All Sectors
2937,AFG,,,AF0108,Mir Bacha Kot,,,Final HRP caseload,ALL,total,69338.0,23555.0,18507.0,,,,All Sectors
3206,AFG,,,AF0109,Khak-e-Jabbar,,,Final HRP caseload,ALL,total,33210.0,15921.0,15265.0,,,,All Sectors
3456,AFG,,,AF0110,Kalakan,,,Final HRP caseload,ALL,total,42577.0,16504.0,11251.0,,,,All Sectors
3764,AFG,,,AF0111,Guldara,,,Final HRP caseload,ALL,total,31350.0,12509.0,9398.0,,,,All Sectors
4038,AFG,,,AF0112,Farza,,,Final HRP caseload,ALL,total,37045.0,18256.0,18011.0,,,,All Sectors
4312,AFG,,,AF0113,Estalef,,,Final HRP caseload,ALL,total,34546.0,13391.0,9128.0,,,,All Sectors
4589,AFG,,,AF0114,Qara Bagh,,,Final HRP caseload,ALL,total,110106.0,45031.0,31428.0,,,,All Sectors
4894,AFG,,,AF0115,Surobi,,,Final HRP caseload,ALL,total,113692.0,54455.0,38165.0,,,,All Sectors
5175,AFG,AF02,Kapisa,,,,,Final HRP caseload,ALL,total,645836.0,249625.0,159266.0,,,,All Sectors
5524,AFG,,,AF0201,Mahmood-e-Raqi,,,Final HRP caseload,ALL,total,108439.0,34465.0,29177.0,,,,All Sectors
5751,AFG,,,AF0202,Hisa-e-Duwum-e-Kohistan,,,Final HRP caseload,ALL,total,82012.0,26155.0,20221.0,,,,All Sectors
5983,AFG,,,AF0203,Koh Band,,,Final HRP caseload,ALL,total,41455.0,19069.0,11442.0,,,,All Sectors
6248,AFG,,,AF0204,Hisa-e-Awal-e-Kohistan,,,Final HRP caseload,ALL,total,96484.0,38011.0,23096.0,,,,All Sectors
6550,AFG,,,AF0205,Nijrab,,,Final HRP caseload,ALL,total,132924.0,53767.0,29611.0,,,,All Sectors
6777,AFG,,,AF0206,Tagab,,,Final HRP caseload,ALL,total,121619.0,51988.0,28734.0,,,,All Sectors
7077,AFG,,,AF0207,Alasay,,,Final HRP caseload,ALL,total,62904.0,26170.0,16984.0,,,,All Sectors
7326,AFG,AF03,Parwan,,,,,Final HRP caseload,ALL,total,947698.0,337003.0,253507.0,,,,All Sectors
7685,AFG,,,AF0301,Charikar,,,Final HRP caseload,ALL,total,245386.0,75467.0,62204.0,,,,All Sectors
8013,AFG,,,AF0302,Bagram,,,Final HRP caseload,ALL,total,187688.0,55930.0,43170.0,,,,All Sectors
8317,AFG,,,AF0303,Shinwari,,,Final HRP caseload,ALL,total,68917.0,31702.0,19135.0,,,,All Sectors
8591,AFG,,,AF0304,Sayed Khel,,,Final HRP caseload,ALL,total,61541.0,20472.0,16987.0,,,,All Sectors
8837,AFG,,,AF0305,Jabal Saraj,,,Final HRP caseload,ALL,total,76407.0,28785.0,19647.0,,,,All Sectors
9124,AFG,,,AF0306,Salang,,,Final HRP caseload,ALL,total,46427.0,18794.0,12479.0,,,,All Sectors
9382,AFG,,,AF0307,Ghorband,,,Final HRP caseload,ALL,total,124345.0,46596.0,31490.0,,,,All Sectors
9646,AFG,,,AF0308,Koh-e-Safi,,,Final HRP caseload,ALL,total,39006.0,14823.0,10485.0,,,,All Sectors
9891,AFG,,,AF0309,Surkh-e-Parsa,,,Final HRP caseload,ALL,total,57264.0,28448.0,28273.0,,,,All Sectors
10099,AFG,,,AF0310,Shekh Ali,,,Final HRP caseload,ALL,total,40715.0,15985.0,9637.0,,,,All Sectors
10295,AFG,AF04,Maidan Wardak,,,,,Final HRP caseload,ALL,total,901219.0,371539.0,259941.0,,,,All Sectors
10643,AFG,,,AF0401,Maydan Shahr,,,Final HRP caseload,ALL,total,60446.0,25035.0,14811.0,,,,All Sectors
10910,AFG,,,AF0402,Nerkh,,,Final HRP caseload,ALL,total,93872.0,36008.0,27075.0,,,,All Sectors
11182,AFG,,,AF0403,Jalrez,,,Final HRP caseload,ALL,total,66371.0,24723.0,16914.0,,,,All Sectors
11494,AFG,,,AF0404,Chak-e-Wardak,,,Final HRP caseload,ALL,total,149541.0,66178.0,39692.0,,,,All Sectors
11767,AFG,,,AF0405,Saydabad,,,Final HRP caseload,ALL,total,187961.0,90185.0,63858.0,,,,All Sectors
12058,AFG,,,AF0406,Daymirdad,,,Final HRP caseload,ALL,total,62011.0,23139.0,17117.0,,,,All Sectors
12290,AFG,,,AF0407,Hesa-e-Awal-e-Behsud,,,Final HRP caseload,ALL,total,53245.0,20559.0,16016.0,,,,All Sectors
12482,AFG,,,AF0408,Jaghatu,,,Final HRP caseload,ALL,total,75301.0,26841.0,18594.0,,,,All Sectors
12663,AFG,,,AF0409,Markaz-e-Behsud,,,Final HRP caseload,ALL,total,152471.0,58872.0,45865.0,,,,All Sectors
12869,AFG,AF05,Logar,,,,,Final HRP caseload,ALL,total,698261.0,249144.0,184427.0,,,,All Sectors
13174,AFG,,,AF0501,Pul-e-Alam,,,Final HRP caseload,ALL,total,213310.0,68398.0,50947.0,,,,All Sectors
13448,AFG,,,AF0502,Baraki Barak,,,Final HRP caseload,ALL,total,158569.0,51692.0,38812.0,,,,All Sectors
13722,AFG,,,AF0503,Charkh,,,Final HRP caseload,ALL,total,73427.0,33776.0,18413.0,,,,All Sectors
14022,AFG,,,AF0504,Khoshi,,,Final HRP caseload,ALL,total,40109.0,16288.0,11213.0,,,,All Sectors
14284,AFG,,,AF0505,Mohammad Agha,,,Final HRP caseload,ALL,total,124393.0,38420.0,30446.0,,,,All Sectors
14553,AFG,,,AF0506,Kharwar,,,Final HRP caseload,ALL,total,45111.0,22034.0,21520.0,,,,All Sectors
14774,AFG,,,AF0507,Azra,,,Final HRP caseload,ALL,total,43343.0,18535.0,13076.0,,,,All Sectors
15024,AFG,AF06,Nangarhar,,,,,Final HRP caseload,ALL,total,3408138.0,1495006.0,1158882.0,,,,All Sectors
15378,AFG,,,AF0601,Jalalabad,,,Final HRP caseload,ALL,total,337092.0,152497.0,136209.0,,,,All Sectors
15686,AFG,,,AF0602,Behsud,,,Final HRP caseload,ALL,total,345660.0,166875.0,153328.0,,,,All Sectors
15982,AFG,,,AF0603,Surkh Rod,,,Final HRP caseload,ALL,total,363493.0,147196.0,102822.0,,,,All Sectors
16278,AFG,,,AF0604,Chaparhar,,,Final HRP caseload,ALL,total,222993.0,91844.0,69503.0,,,,All Sectors
16569,AFG,,,AF0605,Kama,,,Final HRP caseload,ALL,total,131974.0,63053.0,46691.0,,,,All Sectors
16830,AFG,,,AF0606,Kuz Kunar,,,Final HRP caseload,ALL,total,131286.0,55183.0,45975.0,,,,All Sectors
17066,AFG,,,AF0607,Rodat,,,Final HRP caseload,ALL,total,145663.0,59905.0,45449.0,,,,All Sectors
17371,AFG,,,AF0608,Khogyani,,,Final HRP caseload,ALL,total,261653.0,111823.0,79396.0,,,,All Sectors
17667,AFG,,,AF0609,Bati Kot,,,Final HRP caseload,ALL,total,172081.0,70510.0,52708.0,,,,All Sectors
17958,AFG,,,AF0610,Deh Bala,,,Final HRP caseload,ALL,total,77248.0,34094.0,26774.0,,,,All Sectors
18194,AFG,,,AF0611,Pachir Wa Agam,,,Final HRP caseload,ALL,total,99414.0,43313.0,33029.0,,,,All Sectors
18494,AFG,,,AF0612,Dara-e-Nur,,,Final HRP caseload,ALL,total,72622.0,30999.0,27518.0,,,,All Sectors
18751,AFG,,,AF0613,Kot,,,Final HRP caseload,ALL,total,101058.0,41560.0,31531.0,,,,All Sectors
19037,AFG,,,AF0614,Goshta,,,Final HRP caseload,ALL,total,87001.0,41639.0,26897.0,,,,All Sectors
19332,AFG,,,AF0615,Achin,,,Final HRP caseload,ALL,total,193314.0,85694.0,72211.0,,,,All Sectors
19637,AFG,,,AF0616,Shinwar,,,Final HRP caseload,ALL,total,155964.0,64319.0,49332.0,,,,All Sectors
19916,AFG,,,AF0617,Muhmand Dara,,,Final HRP caseload,ALL,total,120559.0,53764.0,34687.0,,,,All Sectors
20252,AFG,,,AF0618,Lalpur,,,Final HRP caseload,ALL,total,63203.0,30139.0,21338.0,,,,All Sectors
20557,AFG,,,AF0619,Sherzad,,,Final HRP caseload,ALL,total,135746.0,65081.0,41579.0,,,,All Sectors
20853,AFG,,,AF0620,Nazyan,,,Final HRP caseload,ALL,total,53921.0,23791.0,18398.0,,,,All Sectors
21127,AFG,,,AF0621,Hesarak,,,Final HRP caseload,ALL,total,81977.0,39287.0,26047.0,,,,All Sectors
21432,AFG,,,AF0622,Dur Baba,,,Final HRP caseload,ALL,total,54215.0,22440.0,17458.0,,,,All Sectors
21697,AFG,AF07,Laghman,,,,,Final HRP caseload,ALL,total,918160.0,377696.0,277982.0,,,,All Sectors
22007,AFG,,,AF0701,Mehtarlam,,,Final HRP caseload,ALL,total,317046.0,131777.0,94178.0,,,,All Sectors
22308,AFG,,,AF0702,Qarghayi,,,Final HRP caseload,ALL,total,178718.0,78018.0,51500.0,,,,All Sectors
22604,AFG,,,AF0703,Alishang,,,Final HRP caseload,ALL,total,144876.0,59905.0,48047.0,,,,All Sectors
22871,AFG,,,AF0704,Alingar,,,Final HRP caseload,ALL,total,196185.0,75713.0,59564.0,,,,All Sectors
23176,AFG,,,AF0705,Dawlatshah,,,Final HRP caseload,ALL,total,81334.0,32283.0,24693.0,,,,All Sectors
23414,AFG,AF08,Panjsher,,,,,Final HRP caseload,ALL,total,298834.0,175465.0,120253.0,,,,All Sectors
23712,AFG,,,AF0801,Bazarak,,,Final HRP caseload,ALL,total,44347.0,20400.0,14418.0,,,,All Sectors
23951,AFG,,,AF0802,Rukha,,,Final HRP caseload,ALL,total,39947.0,18376.0,12679.0,,,,All Sectors
24197,AFG,,,AF0803,Dara,,,Final HRP caseload,ALL,total,51522.0,32070.0,26350.0,,,,All Sectors
24393,AFG,,,AF0804,Khenj,,,Final HRP caseload,ALL,total,61001.0,47229.0,30237.0,,,,All Sectors
24656,AFG,,,AF0805,Anawa,,,Final HRP caseload,ALL,total,42910.0,30200.0,13346.0,,,,All Sectors
24902,AFG,,,AF0806,Shutul,,,Final HRP caseload,ALL,total,21899.0,10074.0,7721.0,,,,All Sectors
25105,AFG,,,AF0807,Paryan,,,Final HRP caseload,ALL,total,37207.0,17115.0,15502.0,,,,All Sectors
25323,AFG,AF09,Baghlan,,,,,Final HRP caseload,ALL,total,1516947.0,838443.0,611885.0,,,,All Sectors
25687,AFG,,,AF0901,Pul-e-Khumri,,,Final HRP caseload,ALL,total,366651.0,171430.0,139536.0,,,,All Sectors
26046,AFG,,,AF0902,Dahana-e-Ghori,,,Final HRP caseload,ALL,total,91206.0,40761.0,30268.0,,,,All Sectors
26356,AFG,,,AF0903,Doshi,,,Final HRP caseload,ALL,total,111545.0,51311.0,32085.0,,,,All Sectors
26661,AFG,,,AF0904,Nahrin,,,Final HRP caseload,ALL,total,122735.0,60313.0,59399.0,,,,All Sectors
26937,AFG,,,AF0905,Baghlan-e-Jadid,,,Final HRP caseload,ALL,total,217069.0,162584.0,99491.0,,,,All Sectors
27240,AFG,,,AF0906,Khinjan,,,Final HRP caseload,ALL,total,57380.0,38314.0,27969.0,,,,All Sectors
27483,AFG,,,AF0907,Andarab,,,Final HRP caseload,ALL,total,52394.0,35224.0,25714.0,,,,All Sectors
27727,AFG,,,AF0908,Deh Salah,,,Final HRP caseload,ALL,total,61753.0,46253.0,30632.0,,,,All Sectors
27978,AFG,,,AF0909,Khwaja Hejran,,,Final HRP caseload,ALL,total,53862.0,25495.0,15188.0,,,,All Sectors
28272,AFG,,,AF0910,Burka,,,Final HRP caseload,ALL,total,91834.0,43987.0,34286.0,,,,All Sectors
28573,AFG,,,AF0911,Tala Wa Barfak,,,Final HRP caseload,ALL,total,55817.0,37188.0,27147.0,,,,All Sectors
28862,AFG,,,AF0912,Pul-e-Hisar,,,Final HRP caseload,ALL,total,55036.0,37126.0,27102.0,,,,All Sectors
29153,AFG,,,AF0913,Khost Wa Fereng,,,Final HRP caseload,ALL,total,117011.0,53930.0,38199.0,,,,All Sectors
29370,AFG,,,AF0914,Guzargah-e-Nur,,,Final HRP caseload,ALL,total,28421.0,11879.0,8335.0,,,,All Sectors
29582,AFG,,,AF0915,Fereng Wa Gharu,,,Final HRP caseload,ALL,total,34233.0,22648.0,16533.0,,,,All Sectors
29790,AFG,AF10,Bamyan,,,,,Final HRP caseload,ALL,total,533973.0,279872.0,252003.0,,,,All Sectors
30136,AFG,,,AF1001,Bamyan,,,Final HRP caseload,ALL,total,112733.0,57063.0,57063.0,,,,All Sectors
30430,AFG,,,AF1002,Shibar,,,Final HRP caseload,ALL,total,39004.0,19271.0,19041.0,,,,All Sectors
30707,AFG,,,AF1003,Sayghan,,,Final HRP caseload,ALL,total,42268.0,20586.0,20026.0,,,,All Sectors
30941,AFG,,,AF1004,Kahmard,,,Final HRP caseload,ALL,total,50430.0,24951.0,24681.0,,,,All Sectors
31170,AFG,,,AF1005,Yakawlang,,,Final HRP caseload,ALL,total,111991.0,77634.0,56673.0,,,,All Sectors
31419,AFG,,,AF1006,Panjab,,,Final HRP caseload,ALL,total,70593.0,35107.0,34914.0,,,,All Sectors
31693,AFG,,,AF1007,Waras,,,Final HRP caseload,ALL,total,106953.0,45260.0,39605.0,,,,All Sectors
31960,AFG,AF11,Ghazni,,,,,Final HRP caseload,ALL,total,1548352.0,693399.0,571720.0,,,,All Sectors
32304,AFG,,,AF1101,Ghazni,,,Final HRP caseload,ALL,total,262045.0,92638.0,87269.0,,,,All Sectors
32544,AFG,,,AF1102,Wal-e-Muhammad-e-Shahid,,,Final HRP caseload,ALL,total,34183.0,15724.0,9528.0,,,,All Sectors
32780,AFG,,,AF1103,Khwaja Umari,,,Final HRP caseload,ALL,total,39852.0,15540.0,11123.0,,,,All Sectors
32998,AFG,,,AF1104,Waghaz,,,Final HRP caseload,ALL,total,59117.0,27194.0,17820.0,,,,All Sectors
33260,AFG,,,AF1105,Deh Yak,,,Final HRP caseload,ALL,total,73921.0,23158.0,19843.0,,,,All Sectors
33498,AFG,,,AF1106,Jaghatu,,,Final HRP caseload,ALL,total,50794.0,25115.0,24872.0,,,,All Sectors
33738,AFG,,,AF1107,Andar,,,Final HRP caseload,ALL,total,127046.0,40331.0,35801.0,,,,All Sectors
33974,AFG,,,AF1108,Zanakhan,,,Final HRP caseload,ALL,total,35847.0,13861.0,9914.0,,,,All Sectors
34144,AFG,,,AF1109,Rashidan,,,Final HRP caseload,ALL,total,27801.0,10346.0,7908.0,,,,All Sectors
34310,AFG,,,AF1110,Nawur,,,Final HRP caseload,ALL,total,140296.0,55255.0,44967.0,,,,All Sectors
34505,AFG,,,AF1111,Qara Bagh,,,Final HRP caseload,ALL,total,133891.0,100285.0,68183.0,,,,All Sectors
34771,AFG,,,AF1112,Giro,,,Final HRP caseload,ALL,total,46003.0,34457.0,21989.0,,,,All Sectors
35042,AFG,,,AF1113,Ab Band,,,Final HRP caseload,ALL,total,37599.0,16605.0,10143.0,,,,All Sectors
35302,AFG,,,AF1114,Jaghuri,,,Final HRP caseload,ALL,total,178241.0,91494.0,91494.0,,,,All Sectors
35521,AFG,,,AF1115,Muqur,,,Final HRP caseload,ALL,total,50579.0,24893.0,24759.0,,,,All Sectors
35790,AFG,,,AF1116,Malistan,,,Final HRP caseload,ALL,total,113000.0,44096.0,35614.0,,,,All Sectors
36059,AFG,,,AF1117,Gelan,,,Final HRP caseload,ALL,total,60731.0,27936.0,18975.0,,,,All Sectors
36403,AFG,,,AF1118,Ajristan,,,Final HRP caseload,ALL,total,49560.0,24190.0,23859.0,,,,All Sectors
36617,AFG,,,AF1119,Nawa,,,Final HRP caseload,ALL,total,27845.0,10281.0,7660.0,,,,All Sectors
36866,AFG,AF12,Paktika,,,,,Final HRP caseload,ALL,total,654909.0,430765.0,267346.0,,,,All Sectors
37200,AFG,,,AF1201,Sharan,,,Final HRP caseload,ALL,total,63323.0,31538.0,24953.0,,,,All Sectors
37466,AFG,,,AF1202,Mata Khan,,,Final HRP caseload,ALL,total,28033.0,19359.0,8774.0,,,,All Sectors
37723,AFG,,,AF1203,Yosuf Khel,,,Final HRP caseload,ALL,total,35076.0,23992.0,17706.0,,,,All Sectors
37989,AFG,,,AF1204,Yahya Khel,,,Final HRP caseload,ALL,total,27053.0,20263.0,8758.0,,,,All Sectors
38255,AFG,,,AF1205,Sar Rawzah,,,Final HRP caseload,ALL,total,27310.0,20455.0,13478.0,,,,All Sectors
38521,AFG,,,AF1206,Omna,,,Final HRP caseload,ALL,total,24125.0,15531.0,7655.0,,,,All Sectors
38752,AFG,,,AF1207,Zarghun Shahr,,,Final HRP caseload,ALL,total,35632.0,24160.0,10702.0,,,,All Sectors
39018,AFG,,,AF1208,Gomal,,,Final HRP caseload,ALL,total,39588.0,30631.0,20077.0,,,,All Sectors
39278,AFG,,,AF1209,Jani Khel,,,Final HRP caseload,ALL,total,35112.0,27046.0,16994.0,,,,All Sectors
39578,AFG,,,AF1210,Surobi,,,Final HRP caseload,ALL,total,34557.0,17388.0,12327.0,,,,All Sectors
39854,AFG,,,AF1211,Urgun,,,Final HRP caseload,ALL,total,57956.0,37351.0,23042.0,,,,All Sectors
40193,AFG,,,AF1212,Ziruk,,,Final HRP caseload,ALL,total,29733.0,21102.0,10823.0,,,,All Sectors
40493,AFG,,,AF1213,Nika,,,Final HRP caseload,ALL,total,21342.0,12564.0,6654.0,,,,All Sectors
40718,AFG,,,AF1214,Barmal,,,Final HRP caseload,ALL,total,56544.0,38852.0,29866.0,,,,All Sectors
41021,AFG,,,AF1215,Giyan,,,Final HRP caseload,ALL,total,29730.0,19967.0,9765.0,,,,All Sectors
41326,AFG,,,AF1216,Dila,,,Final HRP caseload,ALL,total,31034.0,23825.0,15070.0,,,,All Sectors
41626,AFG,,,AF1217,Wazakhah,,,Final HRP caseload,ALL,total,35006.0,24163.0,16209.0,,,,All Sectors
41866,AFG,,,AF1218,Wormamay,,,Final HRP caseload,ALL,total,28531.0,12825.0,9291.0,,,,All Sectors
42106,AFG,,,AF1219,Turwo,,,Final HRP caseload,ALL,total,15227.0,9755.0,5202.0,,,,All Sectors
42340,AFG,AF13,Paktya,,,,,Final HRP caseload,ALL,total,1127668.0,462253.0,301027.0,,,,All Sectors
42679,AFG,,,AF1301,Gardez,,,Final HRP caseload,ALL,total,250349.0,81347.0,56541.0,,,,All Sectors
42924,AFG,,,AF1302,Ahmadaba,,,Final HRP caseload,ALL,total,81866.0,28319.0,19984.0,,,,All Sectors
43193,AFG,,,AF1303,Zurmat,,,Final HRP caseload,ALL,total,143338.0,77620.0,38701.0,,,,All Sectors
43459,AFG,,,AF1304,Shawak,,,Final HRP caseload,ALL,total,24390.0,9361.0,6176.0,,,,All Sectors
43691,AFG,,,AF1305,Zadran,,,Final HRP caseload,ALL,total,68592.0,47358.0,19474.0,,,,All Sectors
44001,AFG,,,AF1306,Sayed Karam,,,Final HRP caseload,ALL,total,79774.0,36696.0,24028.0,,,,All Sectors
44258,AFG,,,AF1307,Jaji,,,Final HRP caseload,ALL,total,109816.0,36216.0,27214.0,,,,All Sectors
44498,AFG,,,AF1308,Lija Ahmad Khel,,,Final HRP caseload,ALL,total,78114.0,26827.0,23102.0,,,,All Sectors
44731,AFG,,,AF1309,Jani Khel,,,Final HRP caseload,ALL,total,74133.0,34101.0,19606.0,,,,All Sectors
44997,AFG,,,AF1310,Chamkani,,,Final HRP caseload,ALL,total,139959.0,48832.0,44508.0,,,,All Sectors
45227,AFG,,,AF1311,Dand Wa Patan,,,Final HRP caseload,ALL,total,77337.0,35575.0,21693.0,,,,All Sectors
45449,AFG,AF14,Khost,,,,,Final HRP caseload,ALL,total,1357526.0,566242.0,350057.0,,,,All Sectors
45842,AFG,,,AF1401,Matun,,,Final HRP caseload,ALL,total,376012.0,163181.0,88794.0,,,,All Sectors
46187,AFG,,,AF1402,Mandozayi,,,Final HRP caseload,ALL,total,145413.0,56697.0,34718.0,,,,All Sectors
46483,AFG,,,AF1403,Gurbuz,,,Final HRP caseload,ALL,total,79751.0,32327.0,20083.0,,,,All Sectors
46788,AFG,,,AF1404,Tani,,,Final HRP caseload,ALL,total,106060.0,44508.0,29389.0,,,,All Sectors
47074,AFG,,,AF1405,Musa Khel,,,Final HRP caseload,ALL,total,85669.0,37223.0,27932.0,,,,All Sectors
47310,AFG,,,AF1406,Nadir Shah Kot,,,Final HRP caseload,ALL,total,81075.0,37295.0,20810.0,,,,All Sectors
47610,AFG,,,AF1407,Sabari,,,Final HRP caseload,ALL,total,138532.0,55792.0,38922.0,,,,All Sectors
47872,AFG,,,AF1408,Terezayi,,,Final HRP caseload,ALL,total,110133.0,43454.0,27734.0,,,,All Sectors
48173,AFG,,,AF1409,Bak,,,Final HRP caseload,ALL,total,61499.0,24981.0,14745.0,,,,All Sectors
48459,AFG,,,AF1410,Qalandar,,,Final HRP caseload,ALL,total,27333.0,11434.0,7574.0,,,,All Sectors
48673,AFG,,,AF1411,Spera,,,Final HRP caseload,ALL,total,43092.0,18327.0,11941.0,,,,All Sectors
48964,AFG,,,AF1412,Shamal,,,Final HRP caseload,ALL,total,30399.0,12014.0,7685.0,,,,All Sectors
49189,AFG,,,AF1413,Jaji Maydan,,,Final HRP caseload,ALL,total,72559.0,29009.0,19730.0,,,,All Sectors
49416,AFG,AF15,Kunar,,,,,Final HRP caseload,ALL,total,1252432.0,570603.0,466514.0,,,,All Sectors
49770,AFG,,,AF1501,Asad Abad,,,Final HRP caseload,ALL,total,95041.0,45498.0,30885.0,,,,All Sectors
50070,AFG,,,AF1502,Marawara,,,Final HRP caseload,ALL,total,62425.0,29838.0,19632.0,,,,All Sectors
50341,AFG,,,AF1503,Watapur,,,Final HRP caseload,ALL,total,75130.0,35954.0,24453.0,,,,All Sectors
50625,AFG,,,AF1504,Narang,,,Final HRP caseload,ALL,total,90857.0,36640.0,30067.0,,,,All Sectors
50896,AFG,,,AF1505,Sar Kani,,,Final HRP caseload,ALL,total,87283.0,36867.0,31859.0,,,,All Sectors
51176,AFG,,,AF1506,Shigal,,,Final HRP caseload,ALL,total,118155.0,58043.0,39422.0,,,,All Sectors
51496,AFG,,,AF1507,Dara-e-Pech,,,Final HRP caseload,ALL,total,119870.0,58760.0,57893.0,,,,All Sectors
51780,AFG,,,AF1508,Bar Kunar,,,Final HRP caseload,ALL,total,73477.0,36532.0,36429.0,,,,All Sectors
52046,AFG,,,AF1509,Chawkay,,,Final HRP caseload,ALL,total,87837.0,35674.0,29906.0,,,,All Sectors
52307,AFG,,,AF1510,Khas Kunar,,,Final HRP caseload,ALL,total,75460.0,30594.0,25589.0,,,,All Sectors
52568,AFG,,,AF1511,Ghazi Abad,,,Final HRP caseload,ALL,total,90788.0,43527.0,30044.0,,,,All Sectors
52822,AFG,,,AF1512,Dangam,,,Final HRP caseload,ALL,total,59314.0,27457.0,24288.0,,,,All Sectors
53079,AFG,,,AF1513,Chapa Dara,,,Final HRP caseload,ALL,total,74995.0,30379.0,25329.0,,,,All Sectors
53324,AFG,,,AF1514,Nurgal,,,Final HRP caseload,ALL,total,62780.0,25497.0,21375.0,,,,All Sectors
53624,AFG,,,AF1515,Nari,,,Final HRP caseload,ALL,total,79020.0,39343.0,39343.0,,,,All Sectors
53890,AFG,AF16,Nuristan,,,,,Final HRP caseload,ALL,total,349249.0,219414.0,127057.0,,,,All Sectors
54161,AFG,,,AF1601,Parun,,,Final HRP caseload,ALL,total,35017.0,26228.0,17675.0,,,,All Sectors
54421,AFG,,,AF1602,Waygal,,,Final HRP caseload,ALL,total,59127.0,40251.0,20539.0,,,,All Sectors
54662,AFG,,,AF1603,Wama,,,Final HRP caseload,ALL,total,30453.0,20772.0,9301.0,,,,All Sectors
54928,AFG,,,AF1604,Nurgaram,,,Final HRP caseload,ALL,total,49644.0,33934.0,17525.0,,,,All Sectors
55172,AFG,,,AF1605,Duab,,,Final HRP caseload,ALL,total,41177.0,21721.0,14536.0,,,,All Sectors
55406,AFG,,,AF1606,Kamdesh,,,Final HRP caseload,ALL,total,60540.0,31934.0,22534.0,,,,All Sectors
55670,AFG,,,AF1607,Mandol,,,Final HRP caseload,ALL,total,34584.0,18243.0,10802.0,,,,All Sectors
55845,AFG,,,AF1608,Barg-e-Matal,,,Final HRP caseload,ALL,total,38706.0,26330.0,14144.0,,,,All Sectors
56036,AFG,AF17,Badakhshan,,,,,Final HRP caseload,ALL,total,1723151.0,1098605.0,858691.0,,,,All Sectors
56390,AFG,,,AF1701,Fayzabad,,,Final HRP caseload,ALL,total,143966.0,107831.0,73479.0,,,,All Sectors
56690,AFG,,,AF1702,Argo,,,Final HRP caseload,ALL,total,171696.0,128600.0,86593.0,,,,All Sectors
56925,AFG,,,AF1703,Arghanj Khwah,,,Final HRP caseload,ALL,total,36246.0,18325.0,17591.0,,,,All Sectors
57168,AFG,,,AF1704,Yaftal-e-Sufla,,,Final HRP caseload,ALL,total,78345.0,58681.0,38989.0,,,,All Sectors
57492,AFG,,,AF1705,Khash,,,Final HRP caseload,ALL,total,37733.0,19774.0,18373.0,,,,All Sectors
57698,AFG,,,AF1706,Baharak,,,Final HRP caseload,ALL,total,80243.0,41103.0,39986.0,,,,All Sectors
58005,AFG,,,AF1707,Darayem,,,Final HRP caseload,ALL,total,70785.0,36126.0,35014.0,,,,All Sectors
58285,AFG,,,AF1708,Kohistan,,,Final HRP caseload,ALL,total,41182.0,26651.0,21023.0,,,,All Sectors
58531,AFG,,,AF1709,Yawan,,,Final HRP caseload,ALL,total,70453.0,35951.0,34840.0,,,,All Sectors
58754,AFG,,,AF1710,Jorm,,,Final HRP caseload,ALL,total,104114.0,54934.0,53992.0,,,,All Sectors
58973,AFG,,,AF1711,Teshkan,,,Final HRP caseload,ALL,total,49374.0,36981.0,24542.0,,,,All Sectors
59208,AFG,,,AF1712,Shuhada,,,Final HRP caseload,ALL,total,59889.0,40120.0,29288.0,,,,All Sectors
59442,AFG,,,AF1713,Shahr-e-Buzorg,,,Final HRP caseload,ALL,total,76507.0,52085.0,38022.0,,,,All Sectors
59705,AFG,,,AF1714,Raghestan,,,Final HRP caseload,ALL,total,68865.0,46647.0,34006.0,,,,All Sectors
59930,AFG,,,AF1715,Keshem,,,Final HRP caseload,ALL,total,103842.0,77778.0,51660.0,,,,All Sectors
60196,AFG,,,AF1716,Warduj,,,Final HRP caseload,ALL,total,47877.0,35860.0,23340.0,,,,All Sectors
60463,AFG,,,AF1717,Tagab,,,Final HRP caseload,ALL,total,42239.0,29412.0,21471.0,,,,All Sectors
60729,AFG,,,AF1718,Yamgan,,,Final HRP caseload,ALL,total,41320.0,27750.0,20258.0,,,,All Sectors
