,Country ISO3,Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Admin 3 PCode,Admin 3 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info,Cluster Full
162497,COD,,,,,CD5409ZS02,Adja,Final HRP caseload,ALL,total,111183.4571,8670.032054,1000.0,111183.4571,,,All Sectors
162550,COD,,,,,CD5409ZS03,Ariwara,Final HRP caseload,ALL,total,177163.1856,58708.0,17592.0,177163.1856,,,All Sectors
162620,COD,,,,,CD5409ZS04,Aru,Final HRP caseload,ALL,total,159415.0483,30756.54918,6256.0,159415.0483,,,All Sectors
162696,COD,,,,,CD5409ZS05,Biringi,Final HRP caseload,ALL,total,107853.8246,50074.61213,41456.0,107853.8246,,,All Sectors
162778,COD,,,,,CD5409ZS06,Laybo,Final HRP caseload,ALL,total,124734.9597,24947.0,4989.0,124734.9597,,,All Sectors
162842,COD,,,,,CD6101ZS01,Goma,Final HRP caseload,ALL,total,252394.7626,165548.0,124161.0,252394.7626,,,All Sectors
162946,COD,,,,,CD6101ZS02,Karisimbi,Final HRP caseload,ALL,total,616487.4371,254396.6259,246873.0,616487.4371,,,All Sectors
163056,COD,,,,,CD6102ZS01,Nyiragongo,Final HRP caseload,ALL,total,434441.0998,198255.0,197964.0,434441.0998,,,All Sectors
163166,COD,,,,,CD6103ZS01,Katoyi,Final HRP caseload,ALL,total,634494.5677,210020.0,104267.0,634494.5677,,,All Sectors
163264,COD,,,,,CD6103ZS02,Kirotshe,Final HRP caseload,ALL,total,439622.039,206683.4876,206683.0,439622.039,,,All Sectors
163368,COD,,,,,CD6103ZS03,Masisi,Final HRP caseload,ALL,total,410864.3317,341781.1723,262953.0,410864.3317,,,All Sectors
163478,COD,,,,,CD6103ZS04,Mweso,Final HRP caseload,ALL,total,392737.0114,251351.6873,251352.0,392737.0114,,,All Sectors
163582,COD,,,,,CD6104ZS01,Itebero,Final HRP caseload,ALL,total,178508.8417,63279.66461,61142.0,178508.8417,,,All Sectors
163680,COD,,,,,CD6104ZS02,Kibua,Final HRP caseload,ALL,total,101836.3973,41621.27892,24074.0,101836.3973,,,All Sectors
163767,COD,,,,,CD6104ZS03,Pinga,Final HRP caseload,ALL,total,151496.0147,124880.04,106148.0,151496.0147,,,All Sectors
163865,COD,,,,,CD6104ZS04,Walikale,Final HRP caseload,ALL,total,157747.579,102838.0,48498.0,157747.579,,,All Sectors
163975,COD,,,,,CD6105ZS01,Alimbongo,Final HRP caseload,ALL,total,221094.3206,92633.0022,92633.0,221094.3206,,,All Sectors
164073,COD,,,,,CD6105ZS02,Biena,Final HRP caseload,ALL,total,119120.6855,15697.37907,8031.0,119120.6855,,,All Sectors
164149,COD,,,,,CD6105ZS03,Kayna,Final HRP caseload,ALL,total,352189.6414,232445.1633,133257.0,352189.6414,,,All Sectors
164241,COD,,,,,CD6105ZS04,Lubero,Final HRP caseload,ALL,total,266916.3947,129858.0,96010.0,266916.3947,,,All Sectors
164340,COD,,,,,CD6105ZS05,Manguredjipa,Final HRP caseload,ALL,total,72629.47067,24045.0,7212.0,72629.47067,,,All Sectors
164422,COD,,,,,CD6105ZS06,Masereka,Final HRP caseload,ALL,total,178134.6344,35627.0,15986.0,178134.6344,,,All Sectors
164503,COD,,,,,CD6105ZS07,Musienene,Final HRP caseload,ALL,total,250030.1813,82774.0,34110.0,250030.1813,,,All Sectors
164596,COD,,,,,CD6107ZS01,Kalunguta,Final HRP caseload,ALL,total,200087.5642,66229.0,66208.0,200087.5642,,,All Sectors
164694,COD,,,,,CD6107ZS02,Kamango,Final HRP caseload,ALL,total,105933.0728,59545.63627,33210.0,105933.0728,,,All Sectors
164787,COD,,,,,CD6107ZS03,Kyondo,Final HRP caseload,ALL,total,215724.1467,42221.54,34706.0,215724.1467,,,All Sectors
164885,COD,,,,,CD6107ZS04,Mabalako,Final HRP caseload,ALL,total,186640.8193,109506.684,77766.0,186640.8193,,,All Sectors
164989,COD,,,,,CD6107ZS05,Mutwanga,Final HRP caseload,ALL,total,248652.6891,108827.82,92504.0,248652.6891,,,All Sectors
165087,COD,,,,,CD6107ZS06,Oicha,Final HRP caseload,ALL,total,337051.718,178136.86,151416.0,337051.718,,,All Sectors
165186,COD,,,,,CD6107ZS07,Vuhovi,Final HRP caseload,ALL,total,121841.5736,21974.14,18678.0,121841.5736,,,All Sectors
165261,COD,,,,,CD6109ZS01,Beni,Final HRP caseload,ALL,total,383423.5956,135262.0,108210.0,383423.5956,,,All Sectors
165365,COD,,,,,CD6110ZS01,Butembo,Final HRP caseload,ALL,total,317019.2646,104935.0,64522.0,317019.2646,,,All Sectors
165458,COD,,,,,CD6110ZS02,Katwa,Final HRP caseload,ALL,total,412436.1731,143802.0371,87162.0,412436.1731,,,All Sectors
165545,COD,,,,,CD6111ZS01,Bambo,Final HRP caseload,ALL,total,151799.4722,126129.64,107210.0,151799.4722,,,All Sectors
165638,COD,,,,,CD6111ZS02,Binza,Final HRP caseload,ALL,total,184896.7914,147934.0,118347.0,184896.7914,,,All Sectors
165725,COD,,,,,CD6111ZS03,Birambizo,Final HRP caseload,ALL,total,386732.6456,147876.7989,81901.0,386732.6456,,,All Sectors
165818,COD,,,,,CD6111ZS04,Kibirizi,Final HRP caseload,ALL,total,285815.1447,216356.08,183903.0,285815.1447,,,All Sectors
165917,COD,,,,,CD6111ZS05,Rutshuru,Final HRP caseload,ALL,total,285007.0614,157847.0,53372.0,285007.0614,,,All Sectors
166010,COD,,,,,CD6111ZS06,Rwanguba,Final HRP caseload,ALL,total,261045.857,81085.33168,52664.0,261045.857,,,All Sectors
166097,COD,,,,,CD6201ZS01,Bagira,Final HRP caseload,ALL,total,158951.9203,32042.0,25634.0,158951.9203,,,All Sectors
166184,COD,,,,,CD6201ZS02,Ibanda,Final HRP caseload,ALL,total,516239.2239,172366.0,51262.0,516239.2239,,,All Sectors
166260,COD,,,,,CD6201ZS03,Kadutu,Final HRP caseload,ALL,total,420949.7406,139510.0,67489.0,420949.7406,,,All Sectors
